Date,Machine ID,Type,Air Temperature,Process Temperature,Rotatinal Speed,Torque,Tool wear,Failure
2024-05-30T10:56:34.747Z,HM3,H,297.1460266113281,311.41375732421875,2369,69.79446411132812,,0

2024-05-30T10:56:34.754Z,HM7,H,303.599853515625,310.885009765625,2415,18.343029022216797,,0
2024-05-30T10:56:34.754Z,RM2,M,300.02520751953125,311.7961730957031,2512,36.07533645629883,,0
2024-05-30T10:56:34.755Z,HM11,H,303.8138427734375,313.0914306640625,1847,4.644652366638184,,0
2024-05-30T10:56:34.765Z,HM12,H,298.0622253417969,311.5177917480469,2615,74.01704406738281,,0
2024-05-30T10:56:34.769Z,HM14,H,298.3316345214844,310.8073425292969,2617,13.668807029724121,,0
2024-05-30T10:56:34.769Z,HM15,H,300.8704833984375,307.3255615234375,2690,60.27521896362305,,0
2024-05-30T10:56:34.771Z,HM9,H,303.4859313964844,307.1902160644531,2647,25.899805068969727,,0
2024-05-30T10:56:34.771Z,HM8,H,304.08074951171875,305.9362487792969,1551,3.8325414657592773,,0
2024-05-30T10:56:34.771Z,HM1,H,295.55889892578125,311.48944091796875,1858,25.19892120361328,,0
2024-05-30T10:56:34.775Z,HM4,H,297.3280029296875,310.867919921875,1381,56.78950500488281,,0
2024-05-30T10:56:34.775Z,HM5,H,301.4107971191406,306.79132080078125,1202,45.89551544189453,,0
2024-05-30T10:56:34.776Z,HM13,H,298.0014343261719,313.3509826660156,1342,56.628971099853516,,0
2024-05-30T10:56:34.776Z,HM2,H,295.7354736328125,309.2773132324219,2261,62.84825897216797,,0
2024-05-30T10:56:34.775Z,HM6,H,304.0719909667969,306.63958740234375,1956,58.95726013183594,,0
2024-05-30T10:56:34.776Z,MT2,L,302.5130615234375,312.32928466796875,2468,28.819194793701172,,0
2024-05-30T10:56:34.776Z,MT1,L,304.3123779296875,313.6871643066406,1309,52.37978744506836,,0
2024-05-30T10:56:34.777Z,RM3,M,299.00286865234375,312.9942321777344,1597,70.06722259521484,,0
2024-05-30T10:56:34.777Z,HM16,H,296.0835876464844,310.8269348144531,1223,23.318466186523438,,0
2024-05-30T10:56:34.777Z,HM18,H,304.0256042480469,306.6487121582031,1666,24.853010177612305,,0
2024-05-30T10:56:34.777Z,RM1,M,298.1378173828125,309.45916748046875,1396,74.86474609375,,0
2024-05-30T10:57:10.068Z,HM10,H,302.01727294921875,312.71392822265625,2348,68.2343521118164,,0
2024-05-30T10:57:10.074Z,HM8,H,301.279052734375,311.5109558105469,1692,14.680022239685059,,0
2024-05-30T10:57:10.075Z,HM5,H,301.251708984375,309.9560241699219,1505,60.26341247558594,,0
2024-05-30T10:57:10.076Z,RM3,M,301.9564208984375,307.1150817871094,1780,22.006444931030273,,0
2024-05-30T10:57:10.076Z,HM11,H,303.6861877441406,309.6466979980469,1212,65.57408142089844,,0
2024-05-30T10:57:10.096Z,HM12,H,299.72637939453125,313.042724609375,2411,47.46615219116211,,0
2024-05-30T10:57:10.097Z,MT1,L,297.1251220703125,307.26885986328125,2181,76.45248413085938,,0
2024-05-30T10:57:10.115Z,HM14,H,300.9146423339844,312.88043212890625,2421,42.89009094238281,,0
2024-05-30T10:57:10.123Z,HM13,H,304.3309020996094,311.25067138671875,1899,49.81182098388672,,0
2024-05-30T10:57:10.124Z,HM15,H,296.3600769042969,305.9599609375,1575,40.917579650878906,,0
2024-05-30T10:57:10.125Z,HM1,H,300.866943359375,308.9891357421875,2518,36.482627868652344,,0
2024-05-30T10:57:10.129Z,RM2,M,298.8035583496094,308.0296936035156,2012,31.276018142700195,,0
2024-05-30T10:57:10.130Z,HM2,H,304.2794189453125,313.2513427734375,2330,39.33437728881836,,0
2024-05-30T10:57:10.133Z,HM6,H,297.42010498046875,307.05255126953125,1519,6.4787492752075195,,0
2024-05-30T10:57:10.136Z,HM3,H,295.43597412109375,311.97894287109375,1180,69.53784942626953,,0
2024-05-30T10:57:10.137Z,HM18,H,301.6927185058594,310.56988525390625,1809,19.896787643432617,,0
2024-05-30T10:57:10.137Z,HM17,H,296.7887878417969,312.63824462890625,1896,37.81427001953125,,0
2024-05-30T10:57:10.138Z,HM4,H,297.9025573730469,307.0390625,1249,9.754460334777832,,0
2024-05-30T10:57:10.138Z,HM9,H,298.4257507324219,307.94598388671875,1665,68.19390106201172,,0
2024-05-30T10:57:10.138Z,HM16,H,298.337646484375,308.0658874511719,1708,18.365732192993164,,0
2024-05-30T10:57:10.139Z,HM7,H,300.17828369140625,305.7430114746094,2413,29.875703811645508,,0
2024-05-30T10:57:10.139Z,RM1,M,298.46826171875,310.5373840332031,1784,32.3889274597168,,0
2024-05-30T10:57:10.139Z,MT2,L,300.80316162109375,309.5362854003906,1437,38.08772277832031,,0
2024-05-30T10:58:22.798Z,HM7,H,297.84478759765625,311.62451171875,1592,3.8017807006835938,,0
2024-05-30T10:58:22.802Z,HM9,H,303.2949523925781,309.7420349121094,2047,67.09391784667969,,0
